Date, Open, High, Low, Close, Volume
04/12/22, 225.37, 227.25, 212.82, 215.04, 65973900
04/11/22, 222.14, 223.1994, 216.60, 219.17, 57520680
04/08/22, 239.17, 239.23, 230.6201, 231.19, 52478059
04/07/22, 244.41, 247.22, 234.78, 242.08, 55799238
04/06/22, 249.34, 253.00, 240.03, 244.07, 70383266
04/05/22, 272.54, 273.19, 258.20, 259.31, 43661473
04/04/22, 267.28, 275.58, 266.13, 273.60, 39770781
04/01/22, 273.75, 274.96, 262.67, 267.12, 51723512
03/31/22, 277.82, 282.48, 272.70, 272.86, 52344020
03/30/22, 283.04, 284.955, 275.03, 276.90, 46348711
03/29/22, 286.945, 289.46, 279.80, 286.56, 48898441
03/28/22, 277.555, 282.50, 272.06, 282.19, 42549391
03/25/22, 278.86, 283.58, 272.71, 276.92, 57901621
03/24/22, 261.66, 283.1999, 259.07, 281.50, 87737914
03/23/22, 261.26, 266.115, 255.7501, 256.34, 50211992
03/22/22, 267.27, 272.38, 260.72, 265.24, 54700711
03/21/22, 265.07, 271.5199, 259.67, 267.34, 59172711
03/18/22, 247.99, 265.6899, 246.24, 264.53, 73071859
03/17/22, 241.20, 248.42, 239.06, 247.66, 47194121
03/16/22, 235.00, 245.97, 231.72, 244.96, 67142172
03/15/22, 215.18, 230.38, 213.2201, 229.73, 49199566
03/14/22, 218.69, 222.62, 211.5901, 213.30, 38535422
03/11/22, 230.22, 231.45, 220.46, 221.00, 36720859
03/10/22, 225.31, 227.88, 218.82, 226.58, 42806566
03/09/22, 223.87, 232.20, 222.47, 230.14, 49274199
03/08/22, 213.09, 223.7299, 206.50, 215.14, 55746719
03/07/22, 228.17, 230.33, 213.30, 213.52, 45082090
03/04/22, 233.84, 236.80, 224.82, 229.36, 43201070
03/03/22, 242.615, 243.2599, 234.69, 237.14, 36509500
03/02/22, 237.56, 244.09, 234.15, 242.20, 38964191
03/01/22, 242.91, 243.77, 231.32, 234.77, 41205602
02/28/22, 239.92, 246.65, 237.0701, 243.85, 47731859
02/25/22, 237.21, 242.17, 233.81, 241.57, 52886551
02/24/22, 210.15, 238.00, 208.90, 237.48, 73580062
02/23/22, 238.02, 241.5499, 223.01, 223.87, 56651078
02/22/22, 230.35, 240.6399, 230.00, 233.90, 63342238
02/18/22, 246.675, 249.86, 231.00, 236.42, 76125484
02/17/22, 256.30, 257.85, 241.65, 245.07, 81059516
02/16/22, 262.59, 265.82, 255.52, 265.11, 73267633
02/15/22, 249.49, 265.45, 247.84, 264.95, 70175281
02/14/22, 239.34, 248.75, 237.55, 242.67, 44042441
02/11/22, 259.16, 261.52, 237.73, 239.49, 60547199
02/10/22, 259.95, 269.2499, 256.00, 258.24, 51319969
02/09/22, 256.22, 267.25, 253.53, 267.05, 52428168
02/08/22, 243.59, 252.30, 239.80, 251.08, 41035859
02/07/22, 243.72, 251.82, 242.02, 247.28, 37686754
02/04/22, 239.72, 246.35, 236.32, 243.19, 35482848
02/03/22, 244.58, 250.77, 237.80, 239.48, 41017781
02/02/22, 257.94, 258.17, 245.5301, 252.42, 54341941
02/01/22, 251.04, 251.45, 238.9001, 246.38, 51892520
01/31/22, 231.82, 245.09, 230.52, 244.86, 56467969
01/28/22, 220.122, 228.58, 212.96, 228.40, 54377434
01/27/22, 235.68, 239.95, 216.75, 219.44, 57335273
01/26/22, 232.40, 240.57, 223.00, 227.72, 75595875
01/25/22, 225.46, 229.43, 220.00, 223.24, 66461641
01/24/22, 223.30, 233.80, 208.88, 233.72, 91581055
01/21/22, 235.07, 248.23, 232.63, 233.74, 71895773
01/20/22, 253.04, 255.7904, 240.78, 241.50, 43518070
01/19/22, 260.79, 265.4317, 250.52, 250.67, 48831449
01/18/22, 262.60, 266.38, 257.70, 259.03, 42530621
01/14/22, 263.00, 271.969, 262.1001, 269.42, 39583238
01/13/22, 283.79, 284.80, 264.98, 265.75, 53886809
01/12/22, 280.665, 285.95, 276.08, 279.99, 38341352
01/11/22, 273.225, 280.65, 268.39, 278.17, 40408930
01/10/22, 265.81, 274.69, 256.4384, 274.00, 59468102
01/07/22, 281.41, 284.22, 270.57, 272.47, 40993848
01/06/22, 276.40, 284.3799, 270.65, 281.78, 45418641
01/05/22, 289.49, 294.16, 275.33, 276.04, 49806391
01/04/22, 302.77, 304.68, 283.49, 292.90, 52715441
01/03/22, 298.15, 307.11, 297.85, 301.21, 39240289
12/31/21, 296.74, 300.30, 293.3057, 294.11, 26652990
12/30/21, 298.27, 304.57, 295.40, 295.86, 30886420
12/29/21, 302.725, 305.48, 293.66, 300.01, 34313930
12/28/21, 313.12, 313.30, 300.1181, 303.22, 42059121
12/27/21, 296.60, 310.865, 296.40, 309.45, 40368594
12/23/21, 297.55, 300.59, 294.3101, 296.40, 34302168
12/22/21, 288.91, 295.55, 284.49, 294.00, 39518441
12/21/21, 283.74, 291.20, 274.01, 290.75, 52438488
12/20/21, 273.05, 281.44, 271.45, 277.19, 46184680
12/17/21, 279.85, 289.22, 277.60, 278.01, 71662242
12/16/21, 311.52, 311.60, 280.93, 283.87, 70736602
12/15/21, 284.00, 305.00, 278.38, 304.59, 69829688
12/14/21, 276.99, 286.78, 272.50, 283.37, 66703539
12/13/21, 302.49, 302.94, 281.16, 281.61, 59834367
12/10/21, 311.50, 313.05, 298.61, 301.98, 48882512
12/09/21, 317.34, 322.05, 304.28, 304.90, 48850719
12/08/21, 319.99, 322.90, 314.2101, 318.26, 47555152
12/07/21, 309.57, 324.49, 306.51, 324.27, 59305352
12/06/21, 298.80, 302.41, 280.38, 300.37, 65893852
12/03/21, 320.00, 321.29, 301.30, 306.93, 54432512
12/02/21, 312.14, 324.7799, 310.25, 321.26, 47289031
12/01/21, 332.1947, 332.8934, 313.80, 314.35, 48580199
11/30/21, 331.69, 333.53, 318.6401, 326.76, 62206648
11/29/21, 323.66, 334.12, 320.36, 333.76, 45496398
11/26/21, 326.00, 327.10, 313.50, 315.03, 28306891
11/24/21, 314.61, 328.55, 309.28, 326.74, 43516230
11/23/21, 315.35, 323.60, 308.80, 317.46, 53216273
11/22/21, 335.17, 346.47, 319.00, 319.56, 75433523
11/19/21, 322.43, 330.88, 319.05, 329.85, 53386672
11/18/21, 323.67, 327.60, 313.21, 316.75, 78171078
11/17/21, 304.18, 305.09, 288.00, 292.61, 42850801
11/16/21, 297.59, 303.90, 297.0587, 302.03, 26448369
11/15/21, 305.52, 306.44, 292.47, 300.25, 38490898
11/12/21, 300.10, 306.80, 296.30, 303.90, 41305434
11/11/21, 304.68, 305.90, 297.7701, 303.90, 33217211
11/10/21, 293.56, 308.50, 287.78, 294.59, 63620566
11/09/21, 322.82, 323.10, 299.64, 306.57, 64674621
11/08/21, 301.49, 311.00, 299.07, 308.04, 50310090
11/05/21, 301.87, 314.00, 294.10, 297.52, 85126016
11/04/21, 272.29, 313.65, 271.18, 298.01, 115363102
11/03/21, 266.70, 267.84, 262.35, 265.98, 23991029
11/02/21, 258.22, 266.78, 258.00, 264.01, 29411240
11/01/21, 256.49, 258.94, 252.27, 258.27, 26573980
10/29/21, 250.005, 257.09, 250.00, 255.67, 29250279
10/28/21, 248.78, 249.50, 245.23, 249.41, 23420430
10/27/21, 244.74, 250.90, 242.8201, 244.51, 24598990
10/26/21, 239.89, 252.59, 239.24, 247.17, 48589832
10/25/21, 229.73, 233.5499, 227.70, 231.66, 23023480
10/22/21, 228.23, 231.30, 225.61, 227.26, 24938381
10/21/21, 220.97, 227.11, 220.83, 226.92, 18759029
10/20/21, 223.045, 224.33, 219.82, 221.03, 14627590
10/19/21, 222.76, 223.79, 220.37, 222.90, 16147330
10/18/21, 217.49, 222.91, 216.44, 222.22, 18949359
10/15/21, 218.10, 219.31, 216.62, 218.62, 22699400
10/14/21, 212.88, 217.55, 211.2201, 217.46, 24358881
10/13/21, 209.18, 209.90, 207.13, 209.39, 18065189
10/12/21, 208.275, 210.57, 205.28, 206.71, 16213350
